# n_glb= 10000 vel_ave= 0.05 dens= 10000 sigma= 0.002 t_coll= 1 t_end= 12 t_recover= 3 dt= 0.002
|time_sys = 0 |n_infected = 100
|time_sys = 0.218 |n_infected = 135 |n_removed = 0 |other = 9865 |
|time_sys = 0.22 |n_infected = 135 |n_removed = 0 |other = 9865 |
|time_sys = 0.222 |n_infected = 135 |n_removed = 0 |other = 9865 |
|time_sys = 0.224 |n_infected = 135 |n_removed = 0 |other = 9865 |
|time_sys = 0.226 |n_infected = 135 |n_removed = 0 |other = 9865 |
|time_sys = 0.228 |n_infected = 135 |n_removed = 0 |other = 9865 |
|time_sys = 0.23 |n_infected = 135 |n_removed = 0 |other = 9865 |
|time_sys = 0.232 |n_infected = 135 |n_removed = 0 |other = 9865 |
|time_sys = 0.234 |n_infected = 136 |n_removed = 0 |other = 9864 |
|time_sys = 0.236 |n_infected = 136 |n_removed = 0 |other = 9864 |
|time_sys = 0.238 |n_infected = 136 |n_removed = 0 |other = 9864 |
|time_sys = 0.24 |n_infected = 137 |n_removed = 0 |other = 9863 |
|time_sys = 0.242 |n_infected = 137 |n_removed = 0 |other = 9863 |
|time_sys = 0.244 |n_infected = 137 |n_removed = 0 |other = 9863 |
|time_sys = 0.246 |n_infected = 137 |n_removed = 0 |other = 9863 |
|time_sys = 0.248 |n_infected = 137 |n_removed = 0 |other = 9863 |
|time_sys = 0.25 |n_infected = 137 |n_removed = 0 |other = 9863 |
|time_sys = 0.252 |n_infected = 137 |n_removed = 0 |other = 9863 |
|time_sys = 0.254 |n_infected = 137 |n_removed = 0 |other = 9863 |
|time_sys = 0.256 |n_infected = 137 |n_removed = 0 |other = 9863 |
|time_sys = 0.258 |n_infected = 137 |n_removed = 0 |other = 9863 |
|time_sys = 0.26 |n_infected = 137 |n_removed = 0 |other = 9863 |
|time_sys = 0.262 |n_infected = 137 |n_removed = 0 |other = 9863 |
|time_sys = 0.264 |n_infected = 137 |n_removed = 0 |other = 9863 |
|time_sys = 0.266 |n_infected = 137 |n_removed = 0 |other = 9863 |
|time_sys = 0.268 |n_infected = 137 |n_removed = 0 |other = 9863 |
|time_sys = 0.27 |n_infected = 137 |n_removed = 0 |other = 9863 |
|time_sys = 0.272 |n_infected = 139 |n_removed = 0 |other = 9861 |
|time_sys = 0.274 |n_infected = 139 |n_removed = 0 |other = 9861 |
|time_sys = 0.276 |n_infected = 139 |n_removed = 0 |other = 9861 |
|time_sys = 0.278 |n_infected = 139 |n_removed = 0 |other = 9861 |
|time_sys = 0.28 |n_infected = 139 |n_removed = 0 |other = 9861 |
|time_sys = 0.282 |n_infected = 140 |n_removed = 0 |other = 9860 |
|time_sys = 0.284 |n_infected = 140 |n_removed = 0 |other = 9860 |
|time_sys = 0.286 |n_infected = 140 |n_removed = 0 |other = 9860 |
|time_sys = 0.288 |n_infected = 141 |n_removed = 0 |other = 9859 |
|time_sys = 0.29 |n_infected = 141 |n_removed = 0 |other = 9859 |
|time_sys = 0.292 |n_infected = 141 |n_removed = 0 |other = 9859 |
|time_sys = 0.294 |n_infected = 141 |n_removed = 0 |other = 9859 |
|time_sys = 0.296 |n_infected = 141 |n_removed = 0 |other = 9859 |
|time_sys = 0.298 |n_infected = 141 |n_removed = 0 |other = 9859 |
|time_sys = 0.3 |n_infected = 141 |n_removed = 0 |other = 9859 |
|time_sys = 0.302 |n_infected = 142 |n_removed = 0 |other = 9858 |
|time_sys = 0.304 |n_infected = 143 |n_removed = 0 |other = 9857 |
|time_sys = 0.306 |n_infected = 143 |n_removed = 0 |other = 9857 |
|time_sys = 0.308 |n_infected = 143 |n_removed = 0 |other = 9857 |
|time_sys = 0.31 |n_infected = 143 |n_removed = 0 |other = 9857 |
|time_sys = 0.312 |n_infected = 143 |n_removed = 0 |other = 9857 |
|time_sys = 0.314 |n_infected = 143 |n_removed = 0 |other = 9857 |
|time_sys = 0.316 |n_infected = 143 |n_removed = 0 |other = 9857 |
|time_sys = 0.318 |n_infected = 143 |n_removed = 0 |other = 9857 |
|time_sys = 0.32 |n_infected = 143 |n_removed = 0 |other = 9857 |
|time_sys = 0.322 |n_infected = 143 |n_removed = 0 |other = 9857 |
|time_sys = 0.324 |n_infected = 143 |n_removed = 0 |other = 9857 |
|time_sys = 0.326 |n_infected = 144 |n_removed = 0 |other = 9856 |
|time_sys = 0.328 |n_infected = 144 |n_removed = 0 |other = 9856 |
|time_sys = 0.33 |n_infected = 144 |n_removed = 0 |other = 9856 |
|time_sys = 0.332 |n_infected = 144 |n_removed = 0 |other = 9856 |
|time_sys = 0.334 |n_infected = 145 |n_removed = 0 |other = 9855 |
|time_sys = 0.336 |n_infected = 145 |n_removed = 0 |other = 9855 |
|time_sys = 0.338 |n_infected = 145 |n_removed = 0 |other = 9855 |
|time_sys = 0.34 |n_infected = 145 |n_removed = 0 |other = 9855 |
|time_sys = 0.342 |n_infected = 145 |n_removed = 0 |other = 9855 |
|time_sys = 0.344 |n_infected = 146 |n_removed = 0 |other = 9854 |
|time_sys = 0.346 |n_infected = 146 |n_removed = 0 |other = 9854 |
|time_sys = 0.348 |n_infected = 146 |n_removed = 0 |other = 9854 |
|time_sys = 0.35 |n_infected = 146 |n_removed = 0 |other = 9854 |
|time_sys = 0.352 |n_infected = 146 |n_removed = 0 |other = 9854 |
|time_sys = 0.354 |n_infected = 146 |n_removed = 0 |other = 9854 |
